epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.016,1.28293,1.26734,1.08945,0.54549,0.50029,0.51531,0.3043,1.11944,0.84539,1.03039,0.000276924,0.000276924,0.000276924
2,203.472,1.2021,0.93768,1.05729,0.71041,0.453,0.56752,0.34354,1.11278,0.79579,1.0481,0.00054361,0.00054361,0.00054361
3,301.56,1.16912,0.89529,1.05316,0.71396,0.50326,0.60178,0.3755,1.05655,0.76978,1.02429,0.0007993,0.0007993,0.0007993
4,399.899,1.13573,0.843,1.03745,0.65895,0.56764,0.64201,0.39888,1.05227,0.72986,1.02697,0.00078352,0.00078352,0.00078352
5,498.576,1.1129,0.80664,1.02562,0.7021,0.53405,0.64107,0.39908,1.05073,0.7139,1.02302,0.000767026,0.000767026,0.000767026
6,597.091,1.09386,0.78138,1.02264,0.72259,0.64778,0.68605,0.43556,1.00802,0.66817,1.00211,0.000750533,0.000750533,0.000750533
7,695.248,1.0693,0.75183,1.0105,0.75747,0.61167,0.70464,0.45236,0.98006,0.66119,0.99696,0.00073404,0.00073404,0.00073404
8,793.408,1.03548,0.72337,0.99714,0.72413,0.66045,0.72538,0.47411,0.958,0.62721,0.99041,0.000717546,0.000717546,0.000717546
9,891.549,1.02071,0.70102,0.99295,0.80104,0.6547,0.74371,0.47931,0.95119,0.62053,0.98529,0.000701053,0.000701053,0.000701053
10,988.159,1.01717,0.69926,0.9906,0.73613,0.69751,0.77585,0.51158,0.92368,0.60628,0.97384,0.000684559,0.000684559,0.000684559
11,1085.36,0.99098,0.66192,0.97914,0.76023,0.70026,0.76748,0.50387,0.92661,0.58958,0.97587,0.000668066,0.000668066,0.000668066
12,1182.71,0.98601,0.66249,0.98144,0.78895,0.72244,0.78701,0.51577,0.90833,0.57675,0.96617,0.000651573,0.000651573,0.000651573
13,1280.47,0.97357,0.65044,0.97672,0.78673,0.70859,0.79115,0.53366,0.887,0.55759,0.96007,0.000635079,0.000635079,0.000635079
14,1377.62,0.94598,0.62342,0.96068,0.82303,0.68788,0.7998,0.53249,0.88906,0.5517,0.96272,0.000618586,0.000618586,0.000618586
15,1475.32,0.94284,0.62494,0.96291,0.8431,0.6999,0.80196,0.53791,0.88122,0.54031,0.95747,0.000602092,0.000602092,0.000602092
16,1573.23,0.95492,0.62904,0.96569,0.83311,0.72422,0.81428,0.55153,0.87929,0.53502,0.95325,0.000585599,0.000585599,0.000585599
17,1670.83,0.9366,0.61137,0.95929,0.8369,0.73659,0.82102,0.55786,0.8596,0.53103,0.95287,0.000569106,0.000569106,0.000569106
18,1768.81,0.92432,0.59786,0.95597,0.83336,0.74598,0.83262,0.56227,0.85561,0.51924,0.94479,0.000552612,0.000552612,0.000552612
19,1865.33,0.90777,0.58522,0.95227,0.8512,0.75192,0.84161,0.57559,0.85452,0.51513,0.94533,0.000536119,0.000536119,0.000536119
20,1963.08,0.8975,0.57804,0.94701,0.85209,0.75862,0.84108,0.57235,0.83706,0.50914,0.93995,0.000519625,0.000519625,0.000519625
21,2059.64,0.8917,0.57211,0.94514,0.88279,0.74322,0.84767,0.58542,0.82901,0.49642,0.93814,0.000503132,0.000503132,0.000503132
22,2158.14,0.89135,0.57361,0.94447,0.87079,0.76108,0.86013,0.58873,0.82668,0.4958,0.93693,0.000486639,0.000486639,0.000486639
23,2256.74,0.87705,0.56094,0.93938,0.86129,0.77997,0.86306,0.59461,0.81795,0.48322,0.93542,0.000470145,0.000470145,0.000470145
24,2354.88,0.87679,0.55749,0.93743,0.87578,0.78374,0.86145,0.60218,0.80662,0.47857,0.93072,0.000453652,0.000453652,0.000453652
25,2453.96,0.8647,0.54825,0.93636,0.85937,0.78721,0.86393,0.61303,0.80075,0.47133,0.9303,0.000437158,0.000437158,0.000437158
